Sex,Age,BodyweightKg,AgeClass,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg
1,19.0,73.1,18-19,210.0,-220.0,-220.0,210.0,-120.0,-120.0,120.0,120.0,-250.0,-250.0,250.0,250.0
1,28.0,74.9,24-34,190.0,200.0,210.0,210.0,135.0,140.0,142.5,142.5,250.0,-265.0,-270.0,250.0
1,19.0,74.1,18-19,150.0,160.0,165.0,165.0,125.0,-132.5,135.0,135.0,225.0,-240.0,240.0,240.0
1,25.0,74.2,24-34,255.0,275.0,290.0,290.0,160.0,170.0,175.0,175.0,270.0,285.0,-295.0,285.0
1,21.0,74.9,20-23,200.0,217.5,-225.0,217.5,110.0,120.0,-127.5,120.0,217.5,232.5,242.5,242.5
1,21.0,71.4,20-23,195.0,205.0,212.5,212.5,117.5,122.5,-125.0,122.5,195.0,207.5,-215.0,207.5
1,20.0,74.2,20-23,170.0,182.5,190.0,190.0,120.0,-127.5,127.5,127.5,190.0,205.0,217.5,217.5
1,14.0,71.1,13-15,100.0,110.0,125.0,125.0,55.0,62.5,-70.0,62.5,120.0,135.0,145.0,145.0
1,27.0,74.5,24-34,245.0,265.0,-280.0,265.0,180.0,-190.5,-190.5,180.0,265.0,-285.0,-285.0,265.0
1,29.0,73.5,24-34,170.0,185.0,200.0,200.0,110.0,-120.0,-120.0,110.0,200.0,220.0,232.5,232.5
1,20.0,75.0,20-23,180.0,205.0,225.0,225.0,120.0,132.5,137.5,137.5,220.0,237.5,-250.0,237.5
1,19.0,73.1,18-19,155.0,162.5,175.0,175.0,105.0,-112.5,-112.5,105.0,190.0,202.5,-220.0,202.5
1,37.0,75.0,35-39,-175.0,175.0,190.0,190.0,115.0,127.5,-130.0,127.5,210.0,220.0,227.5,227.5
1,30.0,73.1,24-34,210.0,-225.0,-227.5,210.0,125.0,-135.0,135.0,135.0,242.5,252.5,-261.0,252.5
1,24.0,75.0,24-34,215.0,,,215.0,127.5,132.5,-135.0,132.5,215.0,227.5,232.5,232.5
1,17.0,73.5,16-17,195.0,205.0,-210.0,205.0,105.0,110.0,112.5,112.5,245.0,255.0,260.5,260.5
1,19.0,74.2,18-19,195.0,210.0,-220.5,210.0,112.5,-122.5,122.5,122.5,200.0,220.0,225.0,225.0
1,30.0,71.1,24-34,165.0,175.0,180.0,180.0,120.0,130.0,-140.0,130.0,210.0,220.0,230.0,230.0
1,61.0,72.9,60-64,160.0,170.0,-175.0,170.0,120.0,125.0,-130.0,125.0,220.0,-225.0,-225.0,220.0
1,35.0,74.9,35-39,180.0,-190.0,-195.0,180.0,115.0,125.0,127.5,127.5,185.0,195.0,200.0,200.0
1,25.0,71.8,24-34,160.0,170.0,-177.5,170.0,115.0,120.0,125.0,125.0,160.0,170.0,177.5,177.5
1,19.0,69.9,18-19,140.0,145.0,152.5,152.5,87.5,95.0,-102.5,95.0,165.0,172.5,182.5,182.5
1,43.0,71.9,40-44,135.0,155.0,160.0,160.0,82.5,87.5,90.0,90.0,160.0,170.0,180.0,180.0
1,19.0,70.7,18-19,120.0,-130.0,-130.0,120.0,-90.0,95.0,100.0,100.0,150.0,162.5,167.5,167.5
1,35.0,74.5,35-39,220.0,-235.0,235.0,235.0,130.0,137.5,-142.5,137.5,225.0,240.0,-245.0,240.0
1,44.0,74.6,40-44,140.0,152.5,157.5,157.5,95.0,100.0,102.5,102.5,155.0,170.0,180.0,180.0
1,21.0,70.88,20-23,185.0,195.0,200.0,200.0,115.0,120.0,122.5,122.5,185.0,202.5,,202.5
1,14.0,73.0,13-15,130.0,140.0,150.0,150.0,67.5,75.0,80.0,80.0,140.0,160.0,175.0,175.0
1,19.0,73.4,18-19,210.0,-230.0,230.0,230.0,102.5,110.0,-115.0,110.0,220.0,237.5,-252.5,237.5
1,28.0,72.7,24-34,100.0,130.0,-135.0,130.0,80.0,-92.5,-92.5,80.0,175.0,190.0,205.0,205.0
1,23.0,73.85,20-23,140.0,160.0,-180.0,160.0,-90.0,90.0,100.0,100.0,160.0,180.0,200.0,200.0
1,34.0,74.36,24-34,210.0,230.0,-235.0,230.0,92.5,100.0,-105.0,100.0,220.0,240.0,-245.0,240.0
1,25.0,74.8,24-34,212.5,227.5,235.0,235.0,140.0,150.0,-155.0,150.0,230.0,250.0,260.0,260.0
1,25.0,72.3,24-34,190.0,200.0,210.0,210.0,115.0,-125.0,-125.0,115.0,210.0,225.0,-232.5,225.0
1,20.0,74.8,20-23,170.0,185.0,192.5,192.5,110.0,120.0,130.0,130.0,175.0,190.0,-200.0,190.0
1,36.0,69.1,35-39,145.0,152.5,-157.5,152.5,-95.0,95.0,-100.0,95.0,160.0,175.0,180.0,180.0
1,30.0,74.5,24-34,125.0,135.0,140.0,140.0,90.0,-95.0,-95.0,90.0,165.0,172.5,180.0,180.0
1,51.0,72.8,50-54,140.0,150.0,160.0,160.0,75.0,80.0,82.5,82.5,145.0,155.0,165.0,165.0
1,20.0,72.7,20-23,80.0,,,80.0,70.0,82.5,92.5,92.5,166.0,175.0,185.0,185.0
1,21.0,72.3,20-23,180.0,200.0,210.0,210.0,125.0,135.0,140.0,140.0,180.0,200.0,210.0,210.0
1,26.0,74.7,24-34,160.0,-190.0,-190.0,160.0,100.0,110.0,-120.0,110.0,140.0,160.0,-190.0,160.0
1,29.0,74.7,24-34,140.0,150.0,-160.0,150.0,85.0,90.0,-95.0,90.0,195.0,207.5,217.5,217.5
1,15.0,74.1,13-15,115.0,122.5,130.0,130.0,65.0,72.5,-77.5,72.5,115.0,125.0,135.0,135.0
1,31.0,74.95,24-34,150.0,160.0,170.0,170.0,115.0,122.5,127.5,127.5,80.0,175.0,,175.0
1,29.0,73.15,24-34,177.5,-185.0,185.0,185.0,112.5,117.5,-125.0,117.5,213.0,225.0,-232.5,225.0
1,25.0,73.48,24-34,140.0,150.0,160.0,160.0,100.0,110.0,-120.0,110.0,180.0,185.0,195.0,195.0
